Borough,Accuracy,Precision,Recall,F1 Score,Sample Count
EWR,1.0,1.0,1.0,1.0,12
Queens,0.8696636593038127,0.883973103406498,0.9606117791626437,0.8598849883399339,57858
Bronx,0.865323435843054,0.8782660332541568,0.9679319371727748,0.8498353913696233,1886
Unknown,0.8501387604070305,0.8783068783068783,0.5442622950819672,0.8377547184183165,1081
Manhattan,0.8594140684321186,0.9178814842862552,0.2325690163816468,0.8228104108350253,467529
N/A,0.8137254901960784,0.7428571428571429,0.7222222222222222,0.8131139779855604,102
Brooklyn,0.8073341094295693,0.8409230140902594,0.8831224533562084,0.8043044041205999,6872
Staten Island,0.75,0.5,0.5,0.75,16
